lid	vid	mscrape_id	title	price	description	cid	ships_from	ships_to	product_class	listing_available	return_policy
3	12	0	Websites that do not require cvv/cvc/cid $15	0.0181	Selling my list of cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />8 out of the 15 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	1	Websites that do not require cvv/cvc/cid 	0.0180	Selling my list of cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />8 out of the 15 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	2	Websites that do not require cvv/cvc/cid 	0.0187	Selling my list of 19 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />8 out of the 19 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	3	Websites that do not require cvv/cvc/cid 	0.0207	Selling my list of 19 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />8 out of the 19 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	4	Websites that do not require cvv/cvc/cid 	0.0226	Selling my list of 19 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />8 out of the 19 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	5	Websites that do not require cvv/cvc/cid 	0.0234	Selling my list of 19 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />8 out of the 19 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	6	Websites that do not require cvv/cvc/cid 	0.0259	Selling my list of 19 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />4 out of the 19 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	7	Websites that do not require cvv/cvc/cid 	0.0253		54			Digital		
3	12	8	Websites that do not require cvv/cvc/cid 	0.0361	Selling my list of 20 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />4 out of the 20 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
3	12	9	Websites that do not require cvv/cvc/cid 	0.0299		54			Digital		
3	12	10	Websites that do not require cvv/cvc/cid 	0.0301	Selling my list of 20 cardable websites that do not require the cvv/cvc/cid upon checkout.<br /><br />4 out of the 20 sites do ship internationally and I have received feedback of orders being successfull.<br />With that said this list mainly targets usa people, but international people can also use it.<br /><br />The websites sell from electronics, clothes, household items, threatre tickets, outdoor/sports equipment, etc.	54	Worldwide	Worldwide	Digital	True	
