mscrape_id	scrape_year	scrape_month	scrape_day
0	2014	1	21
1	2014	1	26
2	2014	2	3
3	2014	2	10
4	2014	2	13
5	2014	2	19
6	2014	2	23
7	2014	3	23
8	2014	4	10
9	2014	4	16
10	2014	4	22
11	2014	4	24
12	2014	4	27
13	2014	5	10
14	2014	5	12
15	2014	5	22
16	2014	5	29
17	2014	5	30
18	2014	5	31
19	2014	6	3
20	2014	6	4
21	2014	6	11
22	2014	6	19
23	2014	6	23
24	2014	6	24
25	2014	7	5
26	2014	7	18
27	2014	7	21
28	2014	7	26
29	2014	7	28
30	2014	7	29
31	2014	8	3
32	2014	8	5
33	2014	8	10
34	2014	8	15
35	2014	8	22
36	2014	8	25
37	2014	8	27
38	2014	9	2
39	2014	9	10
40	2014	9	15
41	2014	9	19
42	2014	9	23
43	2014	9	26
44	2014	9	30
45	2014	10	4
46	2014	10	5
47	2014	10	6
48	2014	10	8
49	2014	10	11
50	2014	10	12
51	2014	10	13
52	2014	10	15
53	2014	10	17
54	2014	10	20
55	2014	10	22
56	2014	10	23
57	2014	10	26
58	2014	10	27
59	2014	10	29
60	2014	11	1
61	2014	11	3
62	2014	11	6
63	2014	11	7
64	2014	11	9
65	2014	11	11
66	2014	11	14
67	2014	11	15
68	2014	11	16
69	2014	11	18
70	2014	11	19
71	2014	11	21
72	2014	11	22
73	2014	11	23
74	2014	11	24
75	2014	11	25
76	2014	11	29
77	2014	12	2
78	2014	12	4
79	2014	12	6
80	2014	12	7
81	2014	12	14
82	2014	12	20
83	2014	12	21
84	2014	12	24
85	2014	12	26
86	2014	12	28
87	2015	1	2
88	2015	1	6
89	2015	1	7
90	2015	1	8
91	2015	1	9
92	2015	1	10
93	2015	1	11
94	2015	1	14
95	2015	1	16
96	2015	1	21
97	2015	1	24
98	2015	1	29
99	2015	2	1
100	2015	2	2
101	2015	2	3
102	2015	2	5
103	2015	2	9
104	2015	2	11
105	2015	2	17
106	2015	2	19
107	2015	2	21
108	2015	2	24
109	2015	2	26
110	2015	2	28
111	2015	3	3
112	2015	3	7
113	2015	3	16
114	2015	3	17
